"A302103 - Means of transportation (18) (Workers 16 years and over)"
"Current date: 3/2/2020 4:23:50 PM (Eastern Standard Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 18","Output","Workers 16 and Over",
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Auto","Estimate","20"
"TAZ 00103456, Alameda County, California","TAZ 00101558, Marin County, California","Auto","Margin of Error","45"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Total, means of transportation","Margin of Error","17"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","17"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Auto","Estimate","10"
"TAZ 00103456, Alameda County, California","TAZ 00101636, Marin County, California","Auto","Margin of Error","32"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Total, means of transportation","Estimate","20"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Total, means of transportation","Margin of Error","33"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- Drove alone","Estimate","20"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","33"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Auto","Estimate","20"
"TAZ 00103458, Alameda County, California","TAZ 00101549, Marin County, California","Auto","Margin of Error","42"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Total, means of transportation","Margin of Error","16"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","16"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Auto","Estimate","10"
"TAZ 00103459, Alameda County, California","TAZ 00101515, Marin County, California","Auto","Margin of Error","31"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Total, means of transportation","Estimate","25"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Total, means of transportation","Margin of Error","39"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- Drove alone","Estimate","25"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","39"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Auto","Estimate","25"
"TAZ 00103459, Alameda County, California","TAZ 00101637, Marin County, California","Auto","Margin of Error","47"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Total, means of transportation","Margin of Error","15"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 2-person carpool","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","15"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Auto","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101560, Marin County, California","Auto","Margin of Error","30"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Total, means of transportation","Margin of Error","16"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","16"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Auto","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101585, Marin County, California","Auto","Margin of Error","31"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Total, means of transportation","Margin of Error","17"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 3-person carpool","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","17"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Auto","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101613, Marin County, California","Auto","Margin of Error","32"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Total, means of transportation","Margin of Error","13"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 2-person carpool","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","13"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Auto","Estimate","10"
"TAZ 00103460, Alameda County, California","TAZ 00101637, Marin County, California","Auto","Margin of Error","30"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Total, means of transportation","Estimate","15"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Total, means of transportation","Margin of Error","28"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- Drove alone","Estimate","15"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","28"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Auto","Estimate","15"
"TAZ 00103461, Alameda County, California","TAZ 00101592, Marin County, California","Auto","Margin of Error","39"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Total, means of transportation","Margin of Error","14"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","14"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Auto","Estimate","10"
"TAZ 00103463, Alameda County, California","TAZ 00101557, Marin County, California","Auto","Margin of Error","30"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Total, means of transportation","Margin of Error","15"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- In a 4-person carpool","Estimate","10"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","15"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Walked","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Other method","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Auto","Estimate","10"
"TAZ 00103464, Alameda County, California","TAZ 00101479, Marin County, California","Auto","Margin of Error","30"
